revenue,profit,expenses,assets,growth_rate,new_customers,market_share,expansion_idx,cust_satisfaction,retention_rate,nps_score,support_rating,efficiency,uptime_pct,throughput,error_rate,overall_score,valuation,risk_index,random_metric
499.73,100.54,397.31,998.35,3.51,199.01,13.34,47.94,74.71,79.55,50.64,3.86,64.24,97.76,305.22,0.07,69.13,799.39,46.64,22.25
488.69,91.09,389.1,989.99,6.24,203.66,16.29,51.78,73.91,78.09,49.04,1.97,59.74,94.41,298.26,6.29,63.37,790.02,55.58,20.07
500.46,101.64,402.79,1000.53,9.93,209.24,18.52,56.84,77.31,81.9,51.87,5.2,59.78,95.26,299.49,3.35,76.28,803.87,49.99,20.69
494.7,94.75,391.28,988.12,5.34,200.84,14.66,49.88,78.95,83.68,53.86,8.14,59.16,95.43,300.34,5.75,72.46,795.38,50.79,26.32
504.63,100.65,404.83,1003.66,-1.13,191.55,8.67,42.73,75.22,78.0,47.87,2.83,63.22,97.27,304.0,1.83,68.38,796.76,47.22,24.99
497.8,96.78,401.1,997.95,6.37,200.4,17.27,52.58,76.67,81.34,50.42,4.09,62.36,97.14,304.94,2.21,72.77,800.7,44.89,23.35
504.97,103.98,403.95,1005.46,-3.43,189.66,9.14,43.5,66.96,70.02,41.98,-4.56,57.58,93.37,295.93,6.35,58.86,796.23,43.02,21.52
507.27,105.56,405.46,1008.44,7.22,202.84,18.3,51.73,70.83,74.55,46.8,-0.95,62.8,97.0,306.72,2.24,71.22,806.26,46.62,11.7
498.23,99.81,398.64,996.34,2.82,198.47,14.08,50.88,74.03,78.98,49.5,5.22,62.38,96.7,305.31,1.95,72.81,799.46,49.43,31.77
503.61,104.35,401.95,1002.51,9.72,205.57,17.81,52.23,75.6,80.48,50.74,5.25,56.3,93.48,293.0,6.24,71.51,804.85,49.68,16.49
496.47,95.61,397.06,993.33,7.62,205.2,18.63,53.8,73.42,78.48,48.6,2.7,67.6,101.69,313.36,-0.22,74.16,799.23,45.41,14.58
490.36,94.61,392.03,989.37,9.7,201.75,19.01,52.87,79.72,85.69,54.78,9.16,61.01,96.94,303.29,4.62,72.73,800.79,56.14,27.41
512.41,108.0,411.08,1012.64,4.64,199.54,15.44,49.43,71.2,74.91,45.13,0.56,59.34,93.66,297.95,5.91,70.69,804.64,53.31,35.96
487.76,92.15,389.02,988.32,3.75,199.58,14.62,50.29,74.4,82.52,50.98,4.32,60.23,94.04,298.81,6.18,68.25,793.95,55.19,28.98
505.07,103.45,403.29,1003.61,14.91,214.65,23.62,60.84,77.27,83.56,51.13,5.54,57.17,93.42,295.39,6.19,77.66,810.42,53.13,22.15
492.43,94.6,395.72,992.16,9.62,205.01,17.59,54.97,74.11,79.0,50.3,2.03,59.92,94.24,302.43,6.0,69.01,801.59,58.09,18.6
495.46,96.66,395.24,991.84,4.4,198.69,13.99,47.2,68.58,72.55,44.4,-2.46,57.4,91.53,294.49,8.46,61.76,793.09,52.12,17.06
